County,State,CountyFIPS,Diabetes_Number,Obesity_Number,Physical_Inactivity_Number,sex and age_total population_65 years and over_sex ratio (males per 100 females),race_total population,race_total population_one race,race_total population_two or more races,race_total population_one race_1,race_total population_one race_white,race_total population_one race_black or african american,race_total population_one race_american indian and alaska native,race_total population_one race_american indian and alaska native_cherokee tribal grouping,race_total population_one race_american indian and alaska native_chippewa tribal grouping,race_total population_one race_american indian and alaska native_navajo tribal grouping,race_total population_one race_american indian and alaska native_sioux tribal grouping,race_total population_one race_asian,race_total population_one race_asian_asian indian,race_total population_one race_asian_chinese,race_total population_one race_asian_filipino,race_total population_one race_asian_japanese,race_total population_one race_asian_korean,race_total population_one race_asian_vietnamese,race_total population_one race_asian_other asian,race_total population_one race_native hawaiian and other pacific islander,race_total population_one race_native hawaiian and other pacific islander_native hawaiian,race_total population_one race_native hawaiian and other pacific islander_guamanian or chamorro,race_total population_one race_native hawaiian and other pacific islander_samoan,race_total population_one race_native hawaiian and other pacific islander_other pacific islander,race_total population_one race_some other race,race_total population_two or more races_1,race_total population_two or more races_white and black or african american,race_total population_two or more races_white and american indian and alaska native,race_total population_two or more races_white and asian,race_total population_two or more races_black or african american and american indian and alaska native,race alone or in combination with one or more other races_total population,race alone or in combination with one or more other races_total population_white,race alone or in combination with one or more other races_total population_black or african american,race alone or in combination with one or more other races_total population_american indian and alaska native,race alone or in combination with one or more other races_total population_asian,race alone or in combination with one or more other races_total population_native hawaiian and other pacific islander,race alone or in combination with one or more other races_total population_some other race,hispanic or latino and race_total population,hispanic or latino and race_total population_hispanic or latino (of any race),hispanic or latino and race_total population_hispanic or latino (of any race)_mexican,hispanic or latino and race_total population_hispanic or latino (of any race)_puerto rican,hispanic or latino and race_total population_hispanic or latino (of any race)_cuban,hispanic or latino and race_total population_hispanic or latino (of any race)_other hispanic or latino,hispanic or latino and race_total population_not hispanic or latino,hispanic or latino and race_total population_not hispanic or latino_white alone,hispanic or latino and race_total population_not hispanic or latino_black or african american alone,hispanic or latino and race_total population_not hispanic or latino_american indian and alaska native alone,hispanic or latino and race_total population_not hispanic or latino_asian alone,hispanic or latino and race_total population_not hispanic or latino_native hawaiian and other pacific islander alone,hispanic or latino and race_total population_not hispanic or latino_some other race alone,hispanic or latino and race_total population_not hispanic or latino_two or more races,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races including some other race,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races excluding some other race -  and three or more races,total housing units,citizen -  voting age population_citizen -  18 and over population,citizen -  voting age population_citizen -  18 and over population_male,citizen -  voting age population_citizen -  18 and over population_female,sex and age_total population,sex and age_total population_male,sex and age_total population_female,sex and age_total population_sex ratio (males per 100 females),sex and age_total population_under 5 years,sex and age_total population_5 to 9 years,sex and age_total population_10 to 14 years,sex and age_total population_15 to 19 years,sex and age_total population_20 to 24 years,sex and age_total population_25 to 34 years,sex and age_total population_35 to 44 years,sex and age_total population_45 to 54 years,sex and age_total population_55 to 59 years,sex and age_total population_60 to 64 years,sex and age_total population_65 to 74 years,sex and age_total population_75 to 84 years,sex and age_total population_85 years and over,sex and age_total population_median age (years),sex and age_total population_under 18 years,sex and age_total population_16 years and over,sex and age_total population_18 years and over,sex and age_total population_21 years and over,sex and age_total population_62 years and over,sex and age_total population_65 years and over,sex and age_total population_18 years and over_1,sex and age_total population_18 years and over_male,sex and age_total population_18 years and over_female,sex and age_total population_18 years and over_sex ratio (males per 100 females),sex and age_total population_65 years and over_1,sex and age_total population_65 years and over_male,sex and age_total population_65 years and over_female
Victoria County,Texas,48469,11043,24405,19042,78.1,91970,89866,2104,89866,80532,5505,269,19,0,0,0,1032,131,333,119,52,0,304,93,41,3,38,0,0,2487,2104,826,388,245,5,91970,82452,6524,812,1508,244,2906,91970,42733,39966,318,152,2297,49237,41428,5205,155,1001,0,165,1283,21,1262,36814,64608,31132,33476,91970,44999,46971,95.8,6568,6371,6729,6326,6150,12754,10914,10734,5638,5615,8163,3963,2045,35.7,23571,71078,68399,64842,17754,14171,68399,33000,35399,93.2,14171,6214,7957
Walker County,Texas,48471,6544,18617,13035,91.5,71539,70487,1052,70487,52337,16475,286,56,0,0,44,923,54,391,99,22,32,149,176,10,0,0,0,10,456,1052,452,186,305,0,71539,53377,16927,484,1228,30,545,71539,12787,11591,123,10,1063,58752,40510,16393,256,911,10,16,656,3,653,25750,56824,33842,22982,71539,41642,29897,139.3,3120,3108,2959,5491,10647,10015,9805,9702,4367,3608,5197,2269,1251,35.4,10876,61825,60663,54410,10728,8717,60663,36084,24579,146.8,8717,4166,4551
Waller County,Texas,48473,4449,12294,10863,88.3,49987,48948,1039,48948,30385,12280,392,20,0,0,7,487,29,118,86,39,35,56,124,24,0,0,23,1,5380,1039,336,290,92,3,49987,31305,12734,748,624,27,5619,49987,14903,13112,41,182,1568,35084,21571,12222,31,428,24,48,760,43,717,16746,33041,16018,17023,49987,24869,25118,99,3371,3804,3205,5399,6604,5834,5034,5509,2916,2554,3697,1531,529,29,12186,39130,37801,32242,7312,5757,37801,18576,19225,96.6,5757,2700,3057
Ward County,Texas,48475,1534,2992,2164,79.7,11586,11432,154,11432,9903,569,176,15,13,16,0,67,0,13,54,0,0,0,0,0,0,0,0,0,717,154,19,50,22,0,11586,10031,595,228,108,0,778,11586,6131,5869,12,0,250,5455,4724,533,55,67,0,0,76,0,76,4783,7885,4025,3860,11586,5864,5722,102.5,848,908,902,822,872,1618,1410,1315,650,645,894,523,179,33.2,3190,8740,8396,7924,1894,1596,8396,4252,4144,102.6,1596,708,888
Washington County,Texas,48477,3832,9366,9452,80.3,34796,34225,571,34225,26986,5806,228,0,0,0,0,591,18,0,24,3,27,519,0,36,36,0,0,0,578,571,140,111,44,31,34796,27516,6145,508,641,194,659,34796,5483,4852,84,35,512,29313,22364,5771,79,591,36,0,472,6,466,16006,25427,12187,13240,34796,17259,17537,98.4,2133,1924,2344,3063,2145,3348,3752,4018,2282,2548,3892,2112,1235,41.6,7713,28150,27083,24737,8683,7239,27083,13060,14023,93.1,7239,3225,4014
Webb County,Texas,48479,15853,64825,55405,74.2,272053,270534,1519,270534,259619,1168,471,42,0,0,0,1361,268,130,406,32,162,308,55,33,0,0,33,0,7882,1519,213,291,249,0,272053,261004,1434,828,1659,130,8542,272053,259797,248464,1050,310,9973,12256,9513,780,118,1295,33,132,385,34,351,81596,133675,65213,68462,272053,132906,139147,95.5,26546,23862,25976,24233,21883,36453,35572,30398,12160,10584,14333,6922,3131,28.6,91335,190483,180718,165817,30689,24386,180718,86517,94201,91.8,24386,10389,13997
Wharton County,Texas,48481,4483,11072,7183,80.0,41551,41236,315,41236,33749,5971,27,5,0,0,0,64,0,15,0,0,0,0,49,0,0,0,0,0,1425,315,207,0,0,0,41551,34047,6200,27,64,0,1533,41551,16983,15881,85,25,992,24568,18643,5747,27,64,0,8,79,0,79,17503,27682,13303,14379,41551,20395,21156,96.4,2827,2904,3245,3010,2643,5060,4611,5087,3087,2310,3729,2131,907,37.2,10818,31931,30733,29025,7956,6767,30733,14947,15786,94.7,6767,3007,3760
Wheeler County,Texas,48483,279,969,993,93.3,5482,5315,167,5315,4820,160,20,5,0,0,0,5,0,0,1,0,0,4,0,17,0,17,0,0,293,167,43,91,7,0,5482,4984,203,111,15,40,296,5482,1448,1429,0,0,19,4034,3740,142,13,5,17,0,117,0,117,2715,3722,1826,1896,5482,2844,2638,107.8,382,438,392,305,253,783,602,583,429,300,578,285,152,39,1424,4200,4058,3918,1215,1015,4058,2002,2056,97.4,1015,490,525
Wichita County,Texas,48485,16502,34602,29168,74.0,131818,126907,4911,126907,103021,13618,1443,254,40,44,33,2945,380,397,595,173,194,667,539,63,12,29,22,0,5817,4911,1492,781,886,192,131818,107356,15721,2695,4374,351,6829,131818,24818,21535,964,204,2115,107000,86518,13116,922,2732,59,450,3203,58,3145,55970,97257,50536,46721,131818,68325,63493,107.6,8617,8564,7984,10463,11987,19733,15035,14923,8612,7224,10103,5966,2607,34.3,29751,105242,102067,93440,22932,18676,102067,53046,49021,108.2,18676,7940,10736
Wilbarger County,Texas,48487,1763,3439,2943,89.1,12906,12676,230,12676,10055,1257,160,36,0,38,0,90,0,1,7,0,0,0,82,0,0,0,0,0,1114,230,49,128,3,0,12906,10276,1313,288,93,2,1164,12906,3739,3312,14,0,413,9167,7583,1221,78,90,0,27,168,7,161,6248,9718,4812,4906,12906,6347,6559,96.8,673,742,917,991,661,1865,1498,1486,1039,740,1329,767,198,37.8,2911,10361,9995,9372,2695,2294,9995,4962,5033,98.6,2294,1081,1213
Willacy County,Texas,48489,2956,5898,4111,80.5,21754,21665,89,21665,20888,146,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,89,10,30,0,17,21754,20960,173,180,0,0,530,21754,19170,18430,19,19,702,2584,2412,129,2,0,0,0,41,0,41,7285,14326,7538,6788,21754,11681,10073,116,1398,1390,1621,1734,2011,3260,3018,2266,1028,1122,1612,981,313,33.6,5302,16939,16452,15232,3598,2906,16452,8905,7547,118,2906,1296,1610
Williamson County,Texas,48491,33594,122083,75201,79.5,527057,506031,21026,506031,422753,33244,1269,355,0,21,0,33857,15927,5272,2316,642,2379,3381,3940,401,75,174,111,41,14507,21026,5522,3805,5816,217,527057,441979,41110,6623,41169,1247,17915,527057,128133,105438,4583,1776,16336,398924,316640,31855,866,33636,366,1198,14363,667,13696,186735,356549,172036,184513,527057,259443,267614,96.9,35305,39362,40653,36058,29157,73635,85938,71680,28654,25929,38120,16238,6328,36.1,138907,403616,388150,370363,76045,60686,388150,188308,199842,94.2,60686,26880,33806
Wilson County,Texas,48493,3239,12557,11539,94.7,48198,46938,1260,46938,44891,708,145,33,0,4,0,212,77,0,25,9,58,0,43,44,44,0,0,0,938,1260,163,777,101,9,48198,46093,909,1011,369,69,1082,48198,18995,16947,316,33,1699,29203,27657,642,53,188,44,56,563,0,563,17458,35294,17491,17803,48198,24197,24001,100.8,2862,3042,3621,3489,2757,5428,5914,7037,3650,3169,4397,1782,1050,40.2,11791,37907,36407,34474,9068,7229,36407,18120,18287,99.1,7229,3517,3712
Winkler County,Texas,48495,377,1920,1098,81.8,7802,7505,297,7505,6884,357,113,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,297,6,125,0,0,7802,7164,363,263,4,10,317,7802,4689,4379,51,24,235,3113,2811,159,78,0,0,0,65,0,65,3029,4690,2332,2358,7802,3977,3825,104,649,714,646,698,548,944,975,942,441,356,472,294,123,32.5,2361,5767,5441,5018,1042,889,5441,2790,2651,105.2,889,400,489
Wise County,Texas,48497,7809,21494,13374,90.4,64639,63031,1608,63031,60340,827,276,48,0,3,0,281,25,51,89,4,0,0,112,124,32,77,0,15,1183,1608,324,605,165,0,64639,61762,1301,941,509,159,1636,64639,12300,11341,234,207,518,52339,49868,759,258,281,114,2,1057,75,982,24553,45590,22540,23050,64639,32424,32215,100.6,4302,4380,4564,4366,3784,8020,7761,9171,4731,4058,5997,2504,1001,38.4,16143,50484,48496,46010,11988,9502,48496,24152,24344,99.2,9502,4511,4991
Wood County,Texas,48499,7258,11437,10641,86.8,43815,43265,550,43265,39245,2378,321,37,0,0,0,133,75,8,0,26,8,0,16,37,37,0,0,0,1151,550,256,238,3,0,43815,39776,2652,583,163,37,1186,43815,4313,3949,96,3,265,39502,36273,2335,277,133,37,34,413,8,405,21200,34236,16736,17500,43815,21807,22008,99.1,2138,2208,2656,2751,2115,4129,4211,5300,3464,3073,6759,3661,1350,48.2,8516,36277,35299,33415,13530,11770,35299,17341,17958,96.6,11770,5469,6301
Yoakum County,Texas,48501,652,1622,1166,90.8,8571,8411,160,8411,8207,37,11,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,151,160,112,2,0,0,8571,8345,149,13,5,22,197,8571,5643,5305,0,200,138,2928,2763,25,11,5,0,29,95,0,95,3040,4486,2189,2297,8571,4438,4133,107.4,783,964,668,468,678,1229,1017,863,621,309,589,318,64,31.2,2827,5975,5744,5612,1066,971,5744,2900,2844,102,971,462,509
Young County,Texas,48503,1872,4706,4644,79.4,18114,18063,51,18063,17197,354,145,38,0,0,9,89,0,45,0,4,0,0,40,0,0,0,0,0,278,51,10,0,41,0,18114,17248,364,145,130,0,278,18114,3332,3176,19,0,137,14782,14176,354,112,89,0,0,51,0,51,8708,12948,6443,6505,18114,8930,9184,97.2,1093,1163,1321,1316,780,2072,1989,2265,1226,1304,1917,1096,572,41.4,4386,14211,13728,13064,4211,3585,13728,6752,6976,96.8,3585,1587,1998
Zapata County,Texas,48505,1066,2731,1653,80.6,14369,14334,35,14334,13418,19,0,0,0,0,0,179,0,0,0,0,0,0,179,0,0,0,0,0,718,35,0,35,0,0,14369,13453,19,35,179,0,718,14369,13542,12968,0,0,574,827,615,0,0,179,0,0,33,0,33,6388,6683,3356,3327,14369,7177,7192,99.8,1396,1837,897,952,1228,1762,1692,1458,594,554,1077,751,171,29.6,4835,10012,9534,9167,2277,1999,9534,4565,4969,91.9,1999,892,1107
Zavala County,Texas,48507,688,2299,1978,76.9,12131,12001,130,12001,11359,60,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,578,130,31,64,0,29,12131,11460,120,93,4,0,584,12131,11372,10850,318,0,204,759,602,60,0,4,0,0,93,0,93,4344,8038,4041,3997,12131,6208,5923,104.8,925,1115,977,783,1182,1479,1420,1354,666,565,954,543,168,32.9,3583,9010,8548,8104,1990,1665,8548,4359,4189,104.1,1665,724,941
Beaver County,Utah,49001,416,1119,794,96.1,6443,6418,25,6418,6181,0,62,0,0,45,5,16,0,0,0,16,0,0,0,0,0,0,0,0,159,25,0,25,0,0,6443,6206,0,87,16,0,159,6443,729,580,0,0,149,5714,5611,0,62,16,0,0,25,0,25,2999,4138,2116,2022,6443,3280,3163,103.7,567,477,681,532,375,739,824,563,432,341,549,261,102,33.4,2066,4592,4377,4129,1101,912,4377,2235,2142,104.3,912,447,465
Box Elder County,Utah,49003,3515,12054,6464,89.9,53001,52101,900,52101,49365,303,647,8,8,253,9,420,106,14,38,141,27,0,94,34,0,0,3,31,1332,900,18,123,241,6,53001,50203,414,811,776,285,1558,53001,4912,4089,18,8,797,48089,46154,260,539,397,34,44,661,21,640,18598,35042,17582,17460,53001,26887,26114,103,4484,5353,4488,4184,3309,6406,6855,5527,2917,2863,3657,2136,822,32.5,17080,37796,35921,33930,8262,6615,35921,18037,17884,100.9,6615,3131,3484
Cache County,Utah,49005,4784,19896,11241,87.2,122336,119332,3004,119332,110323,961,563,0,9,295,0,2496,334,614,122,198,195,114,919,478,42,16,123,297,4511,3004,279,589,1225,6,122336,113215,1407,1435,3916,762,5000,122336,13033,9319,267,104,3343,109303,102021,934,487,2479,474,562,2346,49,2297,40640,79878,39759,40119,122336,61354,60982,100.6,10915,10442,10420,11144,17973,17103,14037,9942,4665,4887,6142,3327,1339,25.1,37598,88602,84738,76463,13793,10808,84738,42106,42632,98.8,10808,5034,5774
Carbon County,Utah,49007,1559,4331,3209,88.4,20356,19674,682,19674,18784,133,172,0,0,76,0,84,11,0,0,10,47,16,0,13,0,0,13,0,488,682,4,28,38,329,20356,19119,466,529,146,13,771,20356,2702,1829,2,8,863,17654,16926,127,137,84,13,3,364,0,364,9787,14577,7108,7469,20356,10055,10301,97.6,1328,1556,1536,1650,1299,2398,2478,2101,1381,1338,1902,1017,372,37.2,5431,15533,14925,13988,4021,3291,14925,7303,7622,95.8,3291,1544,1747
Daggett County,Utah,49009,108,216,153,88.7,612,601,11,601,585,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,11,0,0,612,596,1,19,0,0,7,612,20,19,0,0,1,592,577,1,8,0,0,0,6,0,6,1235,477,310,167,612,359,253,141.9,25,32,50,36,51,47,64,74,97,36,81,4,15,46.1,127,495,485,444,110,100,485,318,167,190.4,100,47,53
Davis County,Utah,49011,18735,60037,35876,85.3,340621,329013,11608,329013,306564,4530,1453,156,21,300,185,6117,223,955,1585,850,670,440,1394,2118,239,335,475,1069,8231,11608,1220,2032,3761,17,340621,316973,6675,4332,10934,3542,10745,340621,32175,19840,1453,184,10698,308446,286663,4324,1050,6007,2076,304,8022,273,7749,107180,222378,110747,111631,340621,171584,169037,101.5,30061,32037,31867,26629,22576,48568,48982,35635,16718,14927,19368,9988,3265,30.8,111690,240826,228931,215895,41291,32621,228931,113797,115134,98.8,32621,15014,17607
Duchesne County,Utah,49013,1132,3993,2828,93.9,20219,19867,352,19867,18129,91,802,10,0,57,6,109,0,0,53,20,11,18,7,52,0,0,7,45,684,352,43,140,48,30,20219,18442,179,1019,157,123,691,20219,1661,1171,71,5,414,18558,17237,85,752,104,52,0,328,5,323,10168,12955,6577,6378,20219,10312,9907,104.1,1999,1857,1989,1521,1124,2765,2677,1998,1076,973,1285,717,238,31,6897,13976,13322,12614,2712,2240,13322,6789,6533,103.9,2240,1085,1155
Emery County,Utah,49015,806,2157,1316,100.6,10248,10151,97,10151,9987,17,75,13,0,62,0,66,66,0,0,0,0,0,0,2,0,0,2,0,4,97,0,64,6,27,10248,10057,44,166,72,2,4,10248,642,556,15,0,71,9606,9349,17,75,66,2,0,97,0,97,4604,6998,3515,3483,10248,5234,5014,104.4,693,1002,897,812,517,1143,1194,1041,634,680,988,485,162,35.4,3118,7431,7130,6727,2042,1635,7130,3586,3544,101.2,1635,820,815
Garfield County,Utah,49017,338,775,933,102.6,5017,4947,70,4947,4700,12,164,0,0,163,0,5,0,2,0,0,0,0,3,22,0,0,0,22,44,70,0,26,0,0,5017,4758,18,196,5,54,56,5017,297,290,0,0,7,4720,4468,3,164,5,22,0,58,0,58,3907,3654,1903,1751,5017,2594,2423,107.1,298,324,346,400,221,563,570,543,452,269,616,268,147,41.2,1205,3968,3812,3622,1226,1031,3812,1962,1850,106.1,1031,522,509
Grand County,Utah,49019,803,1993,1151,95.7,9616,9529,87,9529,8933,51,297,74,0,183,0,186,0,35,62,0,0,0,89,62,62,0,0,0,0,87,0,34,53,0,9616,9020,51,331,239,62,0,9616,1000,913,0,0,87,8616,7933,51,297,186,62,0,87,0,87,5329,6964,3459,3505,9616,4779,4837,98.8,503,571,618,527,672,1121,1412,1195,688,712,987,396,214,40.7,1999,7889,7617,7381,1935,1597,7617,3808,3809,100,1597,781,816
Iron County,Utah,49021,3166,9004,5705,93.2,49691,48529,1162,48529,45242,264,1173,16,0,501,0,323,15,22,90,124,40,0,32,27,0,0,0,27,1500,1162,348,166,306,0,49691,46308,627,1392,728,304,1556,49691,4265,3457,69,0,739,45426,42722,264,1127,277,27,122,887,0,887,20807,33987,16936,17051,49691,24834,24857,99.9,4110,4146,3847,4359,5522,6530,5676,4573,2546,2310,3787,1891,394,29.1,14451,37089,35240,32194,7303,6072,35240,17518,17722,98.8,6072,2929,3143
Juab County,Utah,49023,573,1979,1299,93.3,10948,10701,247,10701,10264,18,125,0,0,0,0,18,0,0,18,0,0,0,0,10,0,0,0,10,266,247,5,185,0,0,10948,10511,23,310,18,31,302,10948,514,400,0,0,114,10434,10096,18,110,0,10,33,167,0,167,3701,6982,3483,3499,10948,5590,5358,104.3,961,1205,986,989,672,1280,1497,1079,545,472,757,343,162,30.4,3808,7622,7140,6632,1593,1262,7140,3582,3558,100.7,1262,609,653
Kane County,Utah,49025,517,1558,1058,95.7,7350,7160,190,7160,6847,29,105,0,0,94,0,53,0,1,0,0,29,23,0,10,0,0,10,0,116,190,0,119,0,0,7350,7036,29,224,57,59,138,7350,342,178,13,86,65,7008,6724,16,105,30,10,0,123,0,123,5989,5619,2729,2890,7350,3693,3657,101,416,455,460,588,314,819,755,811,476,612,1045,364,235,41.7,1709,5887,5641,5402,2058,1644,5641,2740,2901,94.5,1644,804,840
Millard County,Utah,49027,871,3081,1723,98.7,12733,12507,226,12507,11219,5,150,12,4,16,0,118,5,39,23,11,0,0,40,13,3,0,4,6,1002,226,0,88,58,8,12733,11426,23,259,187,59,1023,12733,1662,1439,13,0,210,11071,10571,0,146,118,13,20,203,0,203,5049,8058,4048,4010,12733,6545,6188,105.8,1013,1084,1207,947,716,1308,1511,1288,920,694,1162,628,255,35.8,3962,9196,8771,8407,2512,2045,8771,4485,4286,104.6,2045,1016,1029
Morgan County,Utah,49029,423,1613,1273,92.7,11391,11289,102,11289,10999,77,9,0,0,1,0,113,0,8,31,0,0,0,74,18,0,14,0,4,73,102,9,59,22,0,11391,11089,86,80,135,30,73,11391,315,197,0,0,118,11076,10829,77,1,49,18,0,102,0,102,3492,7232,3585,3647,11391,5824,5567,104.6,990,1029,1325,989,705,1082,1506,1284,589,605,777,441,69,32.4,4063,7798,7328,6975,1623,1287,7328,3623,3705,97.8,1287,619,668
Piute County,Utah,49031,112,224,249,106.5,1904,1893,11,1893,1885,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,7,4,0,0,1904,1896,9,6,0,0,4,1904,34,30,0,0,4,1870,1854,2,2,0,0,1,11,0,11,907,1462,771,691,1904,1020,884,115.4,95,78,189,115,63,159,262,173,118,173,252,151,76,44.7,442,1515,1462,1418,531,479,1462,771,691,111.6,479,247,232
Rich County,Utah,49033,142,404,510,132.8,2350,2350,0,2350,2282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,2350,2282,0,0,0,0,68,2350,256,256,0,0,0,2094,2033,0,0,0,0,61,0,0,0,3043,1487,701,786,2350,1152,1198,96.2,175,293,235,200,99,273,168,212,138,117,273,86,81,30.6,854,1610,1496,1415,512,440,1496,708,788,89.8,440,251,189
Salt Lake County,Utah,49035,55574,208854,131004,82.0,1120805,1084139,36666,1084139,887562,20539,8616,278,98,3942,254,45043,7674,9368,3569,2778,2758,7283,11613,16723,719,367,5511,10126,105656,36666,4628,5469,9139,109,1120805,920712,27020,16470,57998,24379,114398,1120805,203140,149916,5408,1489,46327,917665,801714,19465,6571,44627,16466,2453,26369,1205,25164,390308,728697,362082,366615,1120805,562543,558262,100.8,87490,88542,85969,77361,79439,186048,161373,126327,57767,55559,69444,32478,13008,32.6,311760,841676,809045,766803,147608,114930,809045,403172,405873,99.3,114930,51774,63156
San Juan County,Utah,49037,1404,3859,2312,82.3,15281,14885,396,14885,7377,36,7315,4,0,7032,0,62,0,0,9,4,0,49,0,40,20,0,3,17,55,396,66,205,49,7,15281,7709,116,7569,138,71,81,15281,863,514,125,0,224,14418,6662,26,7224,62,40,28,376,7,369,5963,10311,5048,5263,15281,7670,7611,100.8,1214,1339,1446,1445,955,1804,1743,1636,814,878,1156,587,264,31.5,4858,10982,10423,9667,2456,2007,10423,5119,5304,96.5,2007,906,1101
Sanpete County,Utah,49039,1673,5921,4030,95.1,29366,28812,554,28812,25880,276,301,0,0,133,0,140,1,30,0,40,16,45,8,152,17,0,86,49,2063,554,154,196,12,0,29366,26367,501,509,153,275,2128,29366,2829,2539,105,0,185,26537,25233,275,262,140,152,17,458,0,458,10717,20809,11007,9802,29366,15412,13954,110.4,1859,1940,2405,3222,2808,3507,3754,3037,1528,1406,2343,1243,314,31.9,7775,22730,21591,19444,4742,3900,21591,11422,10169,112.3,3900,1901,1999
Sevier County,Utah,49041,1425,4318,3176,92.5,21118,20998,120,20998,19932,149,379,8,0,75,16,12,0,5,5,0,0,2,0,16,16,0,0,0,510,120,8,44,46,0,21118,20039,162,423,66,16,532,21118,1076,814,12,12,238,20042,19395,141,379,12,16,0,99,9,90,8747,14513,7316,7197,21118,10815,10303,105,1497,1855,1873,1680,1173,2407,2697,2148,1036,1420,1931,1097,304,35.2,6362,15465,14756,14002,4211,3332,14756,7438,7318,101.6,3332,1601,1731
Summit County,Utah,49043,1430,4359,3649,106.7,40511,39696,815,39696,38064,304,101,0,0,77,0,667,23,186,90,90,96,16,166,10,0,0,0,10,550,815,99,199,221,0,40511,38826,426,336,977,86,780,40511,4662,3795,106,29,732,35849,34232,304,88,667,10,28,520,0,520,27733,27943,14123,13820,40511,20766,19745,105.2,2098,2833,3484,2908,2344,4702,5429,6241,3470,2515,3176,1048,263,39,10303,31408,30208,28818,5932,4487,30208,15348,14860,103.3,4487,2316,2171
Tooele County,Utah,49045,4908,16159,10913,85.2,65185,63152,2033,63152,58452,344,418,0,0,244,41,505,35,67,102,88,81,10,122,367,144,35,6,182,3066,2033,406,650,247,0,65185,60380,805,1164,838,512,3603,65185,7933,5674,141,25,2093,57252,54359,329,396,494,367,33,1274,13,1261,21417,41754,20876,20878,65185,32871,32314,101.7,5422,6210,6537,5514,4014,8449,10095,7216,2860,3035,3631,1760,442,31.3,21906,45846,43279,40871,7492,5833,43279,21597,21682,99.6,5833,2684,3149
Uintah County,Utah,49047,2473,8126,4817,89.2,36323,35549,774,35549,31960,201,2731,13,0,101,156,128,0,8,28,1,83,0,8,31,0,0,29,2,498,774,59,260,225,0,36323,32715,297,3047,404,43,665,36323,3066,2498,70,0,498,33257,29674,179,2686,128,31,0,559,0,559,13617,23631,11879,11752,36323,18496,17827,103.8,3403,3862,3221,2615,2333,5447,4883,3496,1950,1549,2188,1004,372,30.3,12260,25385,24063,22764,4453,3564,24063,12148,11915,102,3564,1680,1884
Utah County,Utah,49049,23276,97097,55835,84.1,590440,573222,17218,573222,542398,3585,2843,32,0,882,60,8789,1428,2405,880,1036,1272,587,1181,4797,399,10,1839,2549,10810,17218,2196,2665,5287,148,590440,558183,6529,6278,16398,9793,12662,590440,68285,45648,1375,427,20835,522155,488201,3210,2180,8542,4716,751,14555,289,14266,168597,363520,181422,182098,590440,298256,292184,102.1,57920,57256,55602,54952,75277,84178,73565,48878,20848,18275,25796,13709,4184,24.6,201857,408939,388583,352982,54486,43689,388583,194348,194235,100.1,43689,19959,23730
Wasatch County,Utah,49051,1189,5200,3122,97.5,30523,29838,685,29838,28962,95,34,0,0,34,0,383,0,19,235,89,32,0,8,5,0,0,5,0,359,685,9,329,268,0,30523,29626,111,382,676,9,427,30523,4082,3137,140,0,805,26441,25526,45,34,338,5,1,492,14,478,12715,19408,9830,9578,30523,15544,14979,103.8,2393,3012,2798,2370,1819,3652,4563,3343,1932,1442,2140,778,281,33.4,9818,21866,20705,19597,4030,3199,20705,10475,10230,102.4,3199,1579,1620
Washington County,Utah,49053,10088,28175,20351,92.1,160537,157276,3261,157276,145948,1130,2392,2,20,1333,85,1219,67,277,361,126,160,47,181,1351,218,20,729,384,5236,3261,359,627,835,0,160537,148750,1499,3377,2193,2269,5868,160537,16435,10935,640,266,4594,144102,135891,1042,1792,1219,1331,243,2584,49,2535,66604,112441,54644,57797,160537,79500,81037,98.1,11262,12716,12265,11579,10231,18996,18111,14884,8447,9218,18167,10573,4088,36.4,43680,121955,116857,110341,38100,32828,116857,56947,59910,95.1,32828,15736,17092
Wayne County,Utah,49055,153,440,290,94.9,2694,2667,27,2667,2585,9,8,0,0,0,0,13,0,0,9,4,0,0,0,34,0,0,26,8,18,27,5,7,0,0,2694,2609,14,15,15,45,31,2694,159,149,1,0,9,2535,2456,9,8,13,34,0,15,1,14,1668,1925,984,941,2694,1397,1297,107.7,155,156,244,232,59,278,328,314,169,223,354,144,38,41,701,2113,1993,1906,684,536,1993,1035,958,108,536,261,275
Weber County,Utah,49057,14574,55025,32378,84.8,247731,239175,8556,239175,220647,2700,1712,172,0,421,164,2725,270,592,470,366,247,394,386,711,56,100,203,352,10680,8556,1767,1717,2492,215,247731,228347,5171,4031,5896,1808,11671,247731,45034,36193,854,92,7895,202697,189127,2509,1365,2687,626,98,6285,103,6182,90610,166071,82814,83257,247731,124402,123329,100.9,19519,19767,20426,17776,17644,38040,33454,26975,14136,12109,16590,7752,3543,32.5,71269,184063,176462,166849,34736,27885,176462,88224,88238,100,27885,12798,15087
